<metadata>
This file contains a set of observations of particle decays that come from one specific species of hadron, X.
The hadron is observed in the decay X goes to proton plus pi^-  Assume all X particles are produced at the origin
(x=0,y=0,z-0) with a range of momenta.  The position of the decay and the momentum of the proton and pi^- are measured.
Each row corresponds to one event. The columns are:
* x-position of the decay vertex in cm
* y-position of the decay vertex in cm
* z-position of the decay vertex in cm
* species of first particle (always a proton)
* p1x: x-momentum of the proton produced in the decay in GeV
* p1y: y-momentum of the proton produced in the decay in GeV
* p1z: z-momentum of the proton produced in the decay in GeV
* species of second particle (always a pi^-)
* p2x: x-momentum of the pi^- produced in the decay in GeV
* p2x: y-momentum of the pi^- produced in the decay in GeV
* p2x: z-momentum of the pi^- produced in the decay in GeV
</metadata>
 -12.743, -18.266, -10.646, proton, -5.010, -7.156, -4.216, pi-, -1.556, -2.257, -1.270,  YY
 -26.752, -148.359, 60.616, proton, -0.489, -3.092, 1.329, pi-, -0.199, -0.725, 0.230,  YY
 22.257, -67.356, 45.510, proton, 1.675, -5.173, 3.588, pi-, 0.461, -1.291, 0.779,  YY
 0.013, -11.517, 3.977, proton, -0.040, -7.486, 2.605, pi-, 0.051, -2.265, 0.762,  YY
 40.348, 5.784, 29.870, proton, 2.876, 0.342, 2.176, pi-, 0.773, 0.181, 0.526,  YY
 -3.004, -23.774, -6.597, proton, -1.663, -12.453, -3.440, pi-, -0.114, -1.611, -0.462,  YY
 -8.529, 50.072, -27.416, proton, -1.496, 8.258, -4.475, pi-, -0.161, 1.470, -0.851,  YY
 182.150, -24.430, 163.830, proton, 7.896, -1.066, 7.225, pi-, 1.116, -0.143, 0.881,  YY
 45.285, 11.573, 42.311, proton, 5.303, 1.404, 5.080, pi-, 1.241, 0.269, 1.035,  YY
 -32.905, 32.054, -52.944, proton, -2.849, 2.699, -4.404, pi-, -0.314, 0.382, -0.686,  YY
 8.720, 6.850, -2.966, proton, 4.432, 3.481, -1.403, pi-, 0.804, 0.632, -0.378,  YY
 -5.621, -31.619, 2.207, proton, -0.311, -2.098, 0.066, pi-, -0.131, -0.386, 0.107,  YY
 -43.939, 76.128, -58.963, proton, -2.451, 4.240, -3.209, pi-, -0.685, 1.193, -0.999,  YY
 10.039, -58.441, 27.862, proton, 1.516, -8.355, 3.949, pi-, 0.273, -2.062, 1.017,  YY
 52.747, 17.510, 53.015, proton, 2.387, 0.771, 2.512, pi-, 0.655, 0.239, 0.546,  YY
 93.333, 0.006, 48.752, proton, 4.684, -0.046, 2.517, pi-, 1.299, 0.046, 0.608,  YY
 29.385, 14.605, 28.843, proton, 3.439, 1.737, 3.307, pi-, 0.960, 0.449, 1.012,  YY
 52.468, 2.467, 23.894, proton, 6.112, 0.234, 2.694, pi-, 1.304, 0.115, 0.683,  YY
 -5.396, 2.980, 1.822, proton, -3.476, 1.974, 1.159, pi-, -0.301, 0.112, 0.116,  YY
 -66.498, 42.964, 32.980, proton, -4.038, 2.554, 1.901, pi-, -0.501, 0.378, 0.350,  YY
 7.792, 7.981, 11.165, proton, 1.018, 0.990, 1.316, pi-, 0.039, 0.093, 0.199,  YY
 -9.897, -7.760, 13.260, proton, -3.409, -2.548, 4.462, pi-, -0.611, -0.604, 0.923,  YY
 33.438, -7.551, -34.376, proton, 7.491, -1.685, -7.725, pi-, 2.418, -0.553, -2.462,  YY
 -38.821, 41.896, 65.287, proton, -4.512, 4.919, 7.759, pi-, -1.156, 1.197, 1.772,  YY
 -0.087, 3.772, -3.098, proton, -0.119, 2.546, -2.180, pi-, 0.044, 0.673, -0.464,  YY
 -7.932, -9.186, -1.332, proton, -9.613, -11.069, -1.631, pi-, -0.742, -0.924, -0.108,  YY
 12.177, 25.738, -10.388, proton, 1.495, 2.926, -1.205, pi-, 0.160, 0.574, -0.208,  YY
 -17.763, 33.232, 34.060, proton, -1.457, 2.538, 2.690, pi-, -0.127, 0.426, 0.348,  YY
 102.779, -52.338, 76.350, proton, 4.953, -2.583, 3.697, pi-, 1.519, -0.713, 1.111,  YY
 44.117, -21.720, -20.010, proton, 1.744, -0.844, -0.862, pi-, 0.527, -0.274, -0.168,  YY
 0.398, -0.459, 0.184, proton, 1.271, -1.360, 0.486, pi-, 0.141, -0.268, 0.165,  YY
 14.144, 17.675, -11.444, proton, 5.668, 7.147, -4.558, pi-, 0.534, 0.602, -0.460,  YY
 -58.470, -24.944, -5.710, proton, -11.822, -5.017, -1.056, pi-, -2.207, -0.967, -0.314,  YY
 -6.392, -4.315, -3.433, proton, -1.923, -1.395, -1.084, pi-, -0.570, -0.289, -0.255,  YY
 -0.580, 0.649, -0.451, proton, -0.858, 1.032, -0.752, pi-, -0.126, 0.068, -0.014,  YY
 -9.227, 16.469, -9.227, proton, -2.374, 4.426, -2.421, pi-, -0.444, 0.604, -0.398,  YY
 -0.554, -0.936, -0.899, proton, -0.982, -1.706, -1.585, pi-, -0.325, -0.504, -0.537,  YY
 0.472, -45.914, -2.879, proton, 0.117, -9.706, -0.613, pi-, -0.010, -0.675, -0.038,  YY
 -44.926, 24.111, 18.800, proton, -6.983, 3.676, 2.919, pi-, -0.608, 0.398, 0.258,  YY
 42.188, -7.248, 39.174, proton, 5.759, -1.037, 5.466, pi-, 1.392, -0.191, 1.174,  YY
 -5.083, -0.548, 1.454, proton, -3.052, -0.422, 0.896, pi-, -0.438, 0.045, 0.102,  YY
 1.105, 0.797, -1.139, proton, 1.370, 1.035, -1.379, pi-, 0.417, 0.255, -0.464,  YY
 -49.205, 5.728, 55.657, proton, -7.646, 0.920, 8.703, pi-, -0.635, 0.044, 0.664,  YY
 -0.542, 4.896, 0.053, proton, -0.302, 3.417, 0.070, pi-, -0.118, 0.373, -0.028,  YY
 43.919, 71.741, 92.928, proton, 4.233, 6.733, 8.808, pi-, 0.850, 1.569, 1.945,  YY
 1.640, -6.750, 0.230, proton, 0.884, -4.062, 0.129, pi-, 0.269, -0.685, 0.033,  YY
 84.545, 26.689, 80.777, proton, 7.935, 2.426, 7.650, pi-, 1.466, 0.542, 1.332,  YY
 1.532, 1.985, -1.809, proton, 1.044, 1.362, -1.126, pi-, 0.100, 0.120, -0.225,  YY
 -28.732, -11.071, 12.023, proton, -2.367, -0.902, 1.050, pi-, -0.211, -0.091, 0.028,  YY
 25.020, -13.427, 15.082, proton, 1.596, -0.943, 1.023, pi-, 0.484, -0.173, 0.231,  YY
 10.472, -32.190, 32.532, proton, 2.078, -6.574, 6.519, pi-, 0.347, -0.880, 1.014,  YY
 -0.336, 55.508, -31.548, proton, 0.011, 5.878, -3.441, pi-, -0.054, 1.255, -0.613,  YY
 174.589, -209.344, 26.890, proton, 5.705, -6.710, 0.911, pi-, 0.711, -0.982, 0.077,  YY
 5.984, -4.749, 3.298, proton, 2.434, -1.925, 1.247, pi-, 0.249, -0.203, 0.231,  YY
 0.451, 0.986, -1.245, proton, 0.541, 1.096, -1.535, pi-, 0.066, 0.229, -0.139,  YY
 -283.911, 96.993, 66.658, proton, -11.970, 4.073, 2.887, pi-, -1.297, 0.460, 0.228,  YY
 26.961, 15.738, 19.023, proton, 11.114, 6.423, 7.877, pi-, 1.122, 0.720, 0.756,  YY
 28.756, -48.905, 48.676, proton, 2.110, -3.634, 3.528, pi-, 0.190, -0.278, 0.365,  YY
 23.514, -21.376, -33.946, proton, 6.952, -6.351, -10.174, pi-, 1.878, -1.677, -2.574,  YY
 -0.155, 4.288, -4.417, proton, -0.498, 11.862, -12.272, pi-, 0.022, 1.293, -1.280,  YY
 -40.630, 61.313, -31.576, proton, -5.846, 8.936, -4.514, pi-, -0.793, 1.083, -0.646,  YY
 -120.364, 23.653, -20.028, proton, -7.819, 1.524, -1.380, pi-, -0.862, 0.182, -0.065,  YY
 -10.497, -0.304, -4.026, proton, -1.596, -0.137, -0.656, pi-, -0.270, 0.083, -0.060,  YY
 -79.162, -29.048, -19.542, proton, -4.035, -1.584, -1.001, pi-, -0.919, -0.234, -0.222,  YY
 2.857, -12.377, 1.175, proton, 0.216, -1.359, 0.101, pi-, 0.157, -0.256, 0.053,  YY
 -8.270, -52.799, -29.263, proton, -0.684, -4.415, -2.404, pi-, -0.221, -1.361, -0.797,  YY
 -12.124, -13.673, -6.413, proton, -10.693, -12.151, -5.761, pi-, -1.669, -1.791, -0.778,  YY
 -1.639, -114.456, 78.932, proton, -0.126, -5.434, 3.664, pi-, 0.040, -0.587, 0.488,  YY
 5.596, 1.056, 3.751, proton, 1.230, 0.172, 0.735, pi-, 0.247, 0.107, 0.255,  YY
 41.151, 24.373, -42.824, proton, 7.750, 4.564, -8.063, pi-, 2.464, 1.486, -2.567,  YY
 5.956, 12.231, -12.794, proton, 1.794, 3.560, -3.714, pi-, 0.096, 0.322, -0.346,  YY
 -55.779, 53.353, 4.674, proton, -6.993, 6.769, 0.661, pi-, -0.978, 0.855, 0.007,  YY
 31.433, 45.749, 12.793, proton, 1.418, 1.919, 0.514, pi-, 0.092, 0.278, 0.101,  YY
 -30.747, 29.201, 22.158, proton, -4.926, 4.693, 3.443, pi-, -0.835, 0.778, 0.709,  YY
 181.866, -251.338, -94.371, proton, 5.551, -7.724, -2.839, pi-, 1.645, -2.221, -0.895,  YY
 -4.055, -25.050, -12.684, proton, -2.331, -14.371, -7.387, pi-, -0.363, -2.264, -1.037,  YY
 2.536, 0.270, 0.939, proton, 1.858, 0.226, 0.618, pi-, 0.148, -0.012, 0.125,  YY
 -25.593, 127.773, -40.168, proton, -1.401, 6.787, -2.049, pi-, -0.270, 1.557, -0.574,  YY
 -10.444, 2.453, 3.086, proton, -1.937, 0.449, 0.627, pi-, -0.618, 0.151, 0.128,  YY
 4.382, -10.519, -10.623, proton, 2.731, -6.802, -6.810, pi-, 0.702, -1.439, -1.514,  YY
 1.572, 1.754, -1.861, proton, 2.140, 2.257, -2.502, pi-, 0.427, 0.608, -0.537,  YY
 0.062, 55.339, -18.752, proton, -0.091, 7.304, -2.474, pi-, 0.101, 1.180, -0.401,  YY
 -40.326, 38.042, 4.030, proton, -3.216, 2.977, 0.309, pi-, -0.963, 0.966, 0.108,  YY
 18.499, 7.008, -7.675, proton, 4.425, 1.734, -1.935, pi-, 0.831, 0.257, -0.246,  YY
 17.455, -0.859, -12.702, proton, 3.447, -0.218, -2.578, pi-, 0.380, 0.029, -0.207,  YY
 -81.666, 24.141, -23.463, proton, -10.442, 3.150, -3.048, pi-, -1.090, 0.260, -0.265,  YY
 19.623, 2.055, -10.214, proton, 13.273, 1.328, -6.885, pi-, 1.216, 0.190, -0.657,  YY
 -3.450, 6.379, -2.467, proton, -1.401, 2.513, -0.955, pi-, -0.064, 0.195, -0.093,  YY
 -13.218, 1.892, 3.398, proton, -1.990, 0.271, 0.465, pi-, -0.124, 0.031, 0.078,  YY
 5.750, 6.486, 5.096, proton, 0.824, 0.973, 0.715, pi-, 0.288, 0.282, 0.271,  YY
 -18.548, 4.188, 3.464, proton, -4.767, 1.001, 0.818, pi-, -0.802, 0.257, 0.222,  YY
 -23.124, 37.826, -9.043, proton, -3.059, 4.870, -1.120, pi-, -0.300, 0.625, -0.194,  YY
 9.056, 25.749, -31.528, proton, 0.650, 1.783, -2.129, pi-, 0.162, 0.526, -0.699,  YY
 5.231, 5.275, -4.295, proton, 4.615, 4.572, -3.661, pi-, 0.748, 0.836, -0.743,  YY
 -38.098, -16.991, -32.189, proton, -4.888, -2.165, -4.136, pi-, -0.334, -0.164, -0.276,  YY
 78.623, 110.678, 63.065, proton, 3.375, 4.662, 2.582, pi-, 0.441, 0.709, 0.479,  YY
 6.832, 6.851, 1.360, proton, 1.397, 1.393, 0.195, pi-, 0.133, 0.140, 0.109,  YY
 -18.403, -25.678, 33.992, proton, -2.735, -3.830, 5.148, pi-, -0.851, -1.174, 1.477,  YY
 2.190, -2.437, 2.882, proton, 0.945, -0.977, 1.107, pi-, 0.170, -0.264, 0.360,  YY
 -61.418, -35.309, 1.480, proton, -15.022, -8.682, 0.360, pi-, -1.175, -0.630, 0.030,  YY
 -14.312, 4.128, -4.026, proton, -5.384, 1.610, -1.448, pi-, -1.334, 0.327, -0.441,  YY
 -132.375, -12.026, 69.125, proton, -14.261, -1.392, 7.478, pi-, -2.988, -0.175, 1.529,  YY
 -12.611, -1.659, -7.460, proton, -4.270, -0.591, -2.552, pi-, -1.365, -0.150, -0.781,  YY
 -36.246, -37.228, -14.447, proton, -2.313, -2.248, -0.945, pi-, -0.357, -0.494, -0.119,  YY
 5.729, -10.679, -13.376, proton, 0.585, -1.298, -1.535, pi-, 0.206, -0.176, -0.312,  YY
 13.981, 8.634, 15.764, proton, 2.158, 1.236, 2.464, pi-, 0.396, 0.341, 0.415,  YY
 2.052, 3.762, 2.106, proton, 1.581, 2.816, 1.622, pi-, 0.094, 0.254, 0.097,  YY
 -17.820, -20.423, -12.395, proton, -9.532, -10.810, -6.517, pi-, -1.636, -1.989, -1.251,  YY
 106.411, 117.950, -76.454, proton, 6.012, 6.759, -4.354, pi-, 0.604, 0.574, -0.399,  YY
 -28.231, -51.208, -9.983, proton, -1.921, -3.493, -0.714, pi-, -0.143, -0.250, -0.016,  YY
 7.563, -0.926, -3.648, proton, 6.446, -0.877, -3.166, pi-, 1.382, -0.082, -0.610,  YY
 -23.397, -27.054, 18.124, proton, -4.743, -5.397, 3.728, pi-, -0.675, -0.868, 0.470,  YY
 5.940, -21.855, 2.696, proton, 0.937, -3.367, 0.514, pi-, 0.130, -0.561, -0.029,  YY
 15.658, 28.123, -27.545, proton, 0.531, 1.158, -1.101, pi-, 0.211, 0.174, -0.203,  YY
 5.592, 1.274, -2.362, proton, 2.245, 0.493, -0.903, pi-, 0.139, 0.050, -0.104,  YY
 32.613, -3.292, -36.645, proton, 7.782, -0.750, -8.813, pi-, 2.319, -0.270, -2.536,  YY
 37.313, -162.809, -37.182, proton, 3.097, -13.778, -3.071, pi-, 0.795, -3.204, -0.807,  YY
 -140.445, -124.046, 25.437, proton, -8.469, -7.359, 1.527, pi-, -1.957, -1.849, 0.361,  YY
 -22.823, 15.119, 30.233, proton, -9.365, 6.303, 12.402, pi-, -1.301, 0.762, 1.726,  YY
 -4.436, 2.551, -5.657, proton, -1.660, 0.936, -2.132, pi-, -0.111, 0.082, -0.126,  YY
 -68.487, -41.369, 24.232, proton, -7.560, -4.470, 2.719, pi-, -1.223, -0.835, 0.389,  YY
 21.691, -19.339, -13.747, proton, 10.627, -9.591, -6.721, pi-, 2.308, -1.942, -1.478,  YY
 -0.309, 0.646, 0.612, proton, -0.958, 1.779, 1.752, pi-, -0.103, 0.438, 0.348,  YY
 -88.420, -52.843, -44.083, proton, -4.694, -2.848, -2.248, pi-, -0.860, -0.472, -0.522,  YY
 -54.086, 19.192, -65.668, proton, -3.135, 1.037, -3.684, pi-, -0.637, 0.301, -0.896,  YY
 -22.286, -50.131, -52.230, proton, -1.079, -2.456, -2.626, pi-, -0.360, -0.781, -0.747,  YY
